,Unnamed: 0,streetname,startstreet,endstreet,segment_score,road_ids,address_nos,yelp_ids,yelp_address_nos,accident_count,business_count
93,93,Camp Greene St,1500,2000,22,['1bebbf7c4d91ac6aa185203982f08a8524129770'],[1832.0],[],[],1,0
94,94,Camp Stewart Rd,3000,3500,0,[],[],[],[],0,0
95,95,Camp Stewart Rd,3500,4000,25,['bad508d3e834ce2b63d7514045b960dcedf3a217'],[3700.0],[],[],1,0
96,96,Camp Stewart Rd,4000,4500,0,[],[],[],[],0,0
97,97,Camp Stewart Rd,4500,5000,0,[],[],[],[],0,0
98,98,Camp Stewart Rd,5000,5500,0,[],[],[],[],0,0
99,99,Camp Stewart Rd,5500,6000,22,['00afd1ec72c630f2b141754c144df619f0505be7'],[5530.0],[],[],1,0
100,100,Carmel Rd,6000,6500,22,['abc1a22b65ba7dab43a90e420ab630c6578f2c2f'],[6229.0],['uOWWk2duBzNao8fiQFWkJQ'],[6420.0],1,1
101,101,Carmel Rd,6500,7000,10,[],[],"['WPkRg0eaJZFbyXm0uNb1ZA', 'u2NsBZp8Se_65rs6ydI0NQ', 'n_rEQNgsCOLNfMzGqFhn1g']","[6676.0, 6654.0, 6666.0]",0,3
102,102,Cayenne Dr,9000,9500,0,[],[],[],[],0,0
103,103,Cayenne Dr,9500,10000,27,['5378efe2494f501dbdd09f96c3b4f4c4a2cc19d1'],[9731.0],[],[],1,0
104,104,Center Park Dr,100,600,0,[],[],[],[],0,0
105,105,Center Park Dr,600,1100,27,['a15be833e8d402cc8e924fdd35f8f3c9d07e66b8'],[900.0],[],[],1,0
106,106,Central Ave,1000,1500,153,"['48eb6e7a3041c4b9b398166a5e517e98f65ae519', '30cb0b2d9a746944f0c500a2c26aa92baaa5cdd4', '8c0dcb7a7c6b92748a8aad300e9915fc7959326b', '832f17d82999a25763dcd433f5167c3a1ee088e6', '993be9be68f1e84d7bca44f4810f2440d77ab9d1', '8ef6965bb9c7287eef3f2d70d36ae10c527bb628']","[1200.0, 1200.0, 1200.0, 1222.0, 1202.0, 1415.0]","['#NAME?', 'Cdk3wRR7TwJb1JW7agPJXw', 'FKOF8_OMvoPoDHOplDd7tQ', 'csf6o4VOiXk0oZaoyMiCww', 'jXHmmircEbhQmZjWDR1xIA', 'V_VQ9BgbLEzL9mPLQQlc6g', 'RVQE2Z2uky4c0-njFQO66g']","[1322.0, 1226.0, 1101.0, 1225.0, 1322.0, 1101.0, 1401.0]",6,7
107,107,Central Ave,1500,2000,96,"['460998dc92782a5f6968cfae038804cf159bbbe7', '6383e200c8921f1c2c860c8d902a427a63521c5c', '9889bf1884a832de5c57784c57778cde3a39c1a9']","[1501.0, 1600.0, 1533.0]","['NFm869_w6cvVaWaNpAzjeA', 'WOj8nPos3R9IIf0Pyttd8g', 'dyJmIqBIpr1JaqrWn7lYCA', 'bcTwvbD5wfMSgSO-YczLYw', 'CgCkOG9Z5gCO3fgq-ficpQ', 'vodVvMALuQPScQJpLhfcyg', 'aBLx9JlAMq_AuW6VAImSwg', 'SXgVJz5aIvbeCXWvg0ZuNg']","[1500.0, 1911.0, 1707.0, 1531.0, 1921.0, 1509.0, 1601.0, 1600.0]",3,8
108,108,Central Ave,2000,2500,66,"['5a9fd8f3ff8ace08f0be6eb57d4c180dd3dfd3c8', '7e9b2906ce07ca03ebb3197e682233bc2d8f1d08', 'd8918495272ef438ff4bf8472708c37c82b239b9']","[2308.0, 2221.0, 2029.0]",[],[],3,0
