,streetname,startstreet,endstreet
596,Old Prairie Rd,12000,12500
597,Old Prairie Rd,12500,13000
598,Old Providence Rd,6000,6500
599,Old Providence Rd,6500,7000
600,Old Timber Rd,11000,11500
601,Old Timber Rd,11500,12000
602,Olde Sycamore Dr,7000,7500
603,Olde Sycamore Dr,7500,8000
604,Orchard Cir,100,600
605,Orchard Cir,600,1100
606,Park Rd,4000,4500
607,Park Rd,4500,5000
608,Park Rd,5000,5500
609,Park Rd,5500,6000
610,Park Rd,6000,6500
611,Park Rd,6500,7000
612,Park Rd,7000,7500
613,Park Rd,7500,8000
614,Park Rd,8000,8500
615,Park Rd,8500,9000
616,Park Rd,9000,9500
617,Park Rd,9500,10000
618,Park Rd,10000,10500
619,Park Rd,10500,11000
620,Park South Dr,6000,6500
621,Park South Dr,6500,7000
622,Park Willow Dr,10000,10500
623,Park Willow Dr,10500,11000
624,Pavilion Bv,1000,1500
625,Pavilion Bv,1500,2000
626,Pecan Ave,100,600
627,Pecan Ave,600,1100
628,Petrea Ln,7000,7500
629,Petrea Ln,7500,8000
630,Phillips Ave,2000,2500
631,Phillips Ave,2500,3000
632,Pine Meadow Dr,3000,3500
633,Pine Meadow Dr,3500,4000
634,Pineville-matthews Rd,1000,1500
635,Pineville-matthews Rd,1500,2000
636,Pineville-matthews Rd,2000,2500
637,Pineville-matthews Rd,2500,3000
638,Pineville-matthews Rd,3000,3500
639,Pineville-matthews Rd,3500,4000
640,Pineville-matthews Rd,4000,4500
641,Pineville-matthews Rd,4500,5000
642,Pineville-matthews Rd,5000,5500
643,Pineville-matthews Rd,5500,6000
644,Pineville-matthews Rd,6000,6500
645,Pineville-matthews Rd,6500,7000
646,Pineville-matthews Rd,7000,7500
647,Pineville-matthews Rd,7500,8000
648,Plaza Rd Ext,9000,9500
649,Plaza Rd Ext,9500,10000
650,Plaza Rd Ext,10000,10500
651,Plaza Rd Ext,10500,11000
652,Plott Rd,7000,7500
653,Plott Rd,7500,8000
654,Polk St,1000,1500
655,Polk St,1500,2000
656,Pressley Rd,100,600
657,Pressley Rd,600,1100
658,Prosperity Church Rd,3000,3500
659,Prosperity Church Rd,3500,4000
660,Prosperity Church Rd,4000,4500
661,Prosperity Church Rd,4500,5000
662,Prosperity Church Rd,5000,5500
663,Prosperity Church Rd,5500,6000
664,Prosperity Church Rd,6000,6500
665,Prosperity Church Rd,6500,7000
